date Thu Jul 23 09:38:20.686 am 2015
base hex  timestamps absolute
no internal events logged
// version 8.5.0
   1.981032    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   2.000000    SV: 2 0 1 ::LightSystem::OnOff = 0
   2.000000    SV: 1 0 1 ::PowerTrain::PedalPosition = 0
   2.000000    SV: 2 0 1 ::WiperSystem::Active = 0
   2.000000    SV: 2 0 1 ::WiperSystem::Position = 0
   2.001956    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 0
   2.001956    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 1
   2.002476 2  Diag_Request_Tp                     Tx   d 8 02 1A 90 00 00 00 00 00  Length = 1440000 BitCount = 123 ID = 512  // 2  OTP(05) Atom <tester>->Engine  : SF Length:   02         [ 1A 90 ]
   2.002760    SV: 2 1 1 ::ComfortBus::DashboardTurnIndRightDisplay = None
   2.002760    SV: 2 1 1 ::ComfortBus::DashboardTurnIndLeftDisplay = None
   2.002760    SV: 2 1 1 ::ComfortBus::DashboardWarnIndDisplay = None
   2.003856 2  Diag_Response_Tp                    Tx   d 8 10 0C 5A 90 98 76 54 32  Length = 1344000 BitCount = 115 ID = 1024  // 2  OTP(06) Atom Engine -><tester>: FF Length: 000C         [ 5A 90 98 76 54 32 ]
   2.005356 2  Diag_Request_Tp                     Tx   d 8 30 00 14 00 00 00 00 00  Length = 1464000 BitCount = 125 ID = 512  // 2  OTP(06) Atom <tester>->Engine  : FC.CTS:  BSmax: 0x00, STmin: 0x14 ms
   2.021044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.021044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.026808 2  Diag_Response_Tp                    Tx   d 8 21 10 00 99 99 00 01 00  Length = 1416000 BitCount = 121 ID = 1024  // 2  OTP(06) Atom Engine -><tester>: CF Seq.Nr.:   1         [ 10 00 99 99 00 01 ]
   2.041044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.041044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.050000    SV: 2 1 1 ::ComfortBus::GatewaySwitchIgnition = Off
   2.061044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.061044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.081044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.081044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.100000    SV: 2 1 1 ::ComfortBus::GatewaySwitchIgnition = Key
   2.100000    SV: 2 0 1 ::WiperSystem::Active = 96
   2.100000    SV: 2 0 1 ::WiperSystem::Position = 1
   2.101968    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.101968    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.121044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.121044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.141044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.141044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.150000    SV: 2 1 1 ::ComfortBus::GatewaySwitchIgnition = Kl15R
   2.161044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.161044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.181044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.181044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.200000    SV: 2 0 1 ::WiperSystem::Active = 12c
   2.200000    SV: 2 0 1 ::WiperSystem::Position = 3
   2.200000    SV: 2 1 1 ::ComfortBus::GatewaySwitchIgnition = Kl15
   2.200924    SV: 2 0 1 ::ComfortBus::DashboardESPDisplay = 1
   2.200924    SV: 2 0 1 ::ComfortBus::DashboardABSDisplay = 1
   2.200924    SV: 2 0 1 ::ComfortBus::DashboardEngineOilDisplay = 1
   2.200924    SV: 2 0 1 ::ComfortBus::DashboardEngineWaterDisplay = 1
   2.200924    SV: 2 0 1 ::ComfortBus::DashboardBatteryDisplay = 1
   2.201968    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.201968    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.221044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.221044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.241044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.241044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.250000    SV: 2 0 1 ::ComfortBus::GatewayStarter = 1
   2.250000    SV: 2 0 1 ::PowerTrain::GearUp = 1
   2.250000    SV: 3 0 1 ::NMTester::NetworkState_Gateway_PowerTrain = "REPEAT_MESSAGE"
   2.250000    SV: 2 0 1 ::PowerTrain::GearTextDisplay = 1
   2.250804 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
   2.250804    SV: 2 0 1 ::PowerTrain::EngineRunningPowerTrain = 1
   2.252052 2  NM_Gateway_PowerTrain               Tx   d 6 1A 10 00 00 00 00  Length = 1212000 BitCount = 104 ID = 1306
   2.252052    SV: 3 0 1 ::NMTester::NetworkState_Engine_PowerTrain = "REPEAT_MESSAGE"
   2.253552 2  EngineData                          Tx   d 8 00 00 19 00 00 00 00 00  Length = 1464000 BitCount = 125 ID = 100
   2.255052 2  EngineDataIEEE                      Tx   d 8 00 00 00 00 00 00 00 00  Length = 1464000 BitCount = 125 ID = 102
   2.256312 2  ABSdata                             Tx   d 6 00 00 00 00 00 00  Length = 1224000 BitCount = 105 ID = 201
   2.257008 2  GearBoxInfo                         Tx   d 1 01  Length = 660000 BitCount = 58 ID = 1020
   2.257008    SV: 2 0 1 ::PowerTrain::GearTextDisplay = 1
   2.260804 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
   2.261044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.261044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.275000    SV: 1 0 1 ::PowerTrain::PedalPosition = 1
   2.280804 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
   2.281044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.281044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.300000    SV: 2 0 1 ::WiperSystem::Active = 1c2
   2.300000    SV: 2 0 1 ::WiperSystem::Position = 4
   2.301440 2  EngineData                          Tx   d 8 04 00 19 01 77 01 EE 02  Length = 1404000 BitCount = 120 ID = 100
   2.301932    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.301932    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.302916 2  EngineDataIEEE                      Tx   d 8 04 00 00 00 77 01 00 00  Length = 1440000 BitCount = 123 ID = 102
   2.303720 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
   2.304944 2  ABSdata                             Tx   d 6 00 00 00 00 23 28  Length = 1188000 BitCount = 102 ID = 201
   2.305640 2  GearBoxInfo                         Tx   d 1 01  Length = 660000 BitCount = 58 ID = 1020
   2.320804 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
   2.321044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.321044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.340804 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
   2.341044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.341044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.350000    SV: 1 0 1 ::PowerTrain::PedalPosition = 2
   2.351440 2  EngineData                          Tx   d 8 0A 00 19 02 77 01 EE 02  Length = 1404000 BitCount = 120 ID = 100
   2.352904 2  EngineDataIEEE                      Tx   d 8 0A 00 00 00 77 01 00 00  Length = 1428000 BitCount = 122 ID = 102
   2.354128 2  ABSdata                             Tx   d 6 00 00 00 00 23 28  Length = 1188000 BitCount = 102 ID = 201
   2.354824 2  GearBoxInfo                         Tx   d 1 01  Length = 660000 BitCount = 58 ID = 1020
   2.356072 2  NM_Gateway_PowerTrain               Tx   d 6 1A 10 00 00 00 00  Length = 1212000 BitCount = 104 ID = 1306
   2.360804 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
   2.361044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.361044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.380804 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
   2.381044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.381044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.400000    SV: 2 0 1 ::WiperSystem::Active = 258
   2.400000    SV: 2 0 1 ::WiperSystem::Position = 6
   2.401428 2  EngineData                          Tx   d 8 11 00 19 03 77 01 EE 02  Length = 1392000 BitCount = 119 ID = 100
   2.401932    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.401932    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.402904 2  EngineDataIEEE                      Tx   d 8 11 00 00 00 77 01 00 00  Length = 1440000 BitCount = 123 ID = 102
   2.403708 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
   2.404932 2  ABSdata                             Tx   d 6 00 00 00 00 23 28  Length = 1188000 BitCount = 102 ID = 201
   2.405628 2  GearBoxInfo                         Tx   d 1 01  Length = 660000 BitCount = 58 ID = 1020
   2.420804 2  Ignition_Info                       Tx   d 2 01 00  Length = 768000 BitCount = 67 ID = 103
   2.421044    SV: 2 0 1 ::ComfortBus::DashboardWNRStateDisplay = 1
   2.421044    SV: 2 0 1 ::ComfortBus::DashboardWNLStateDisplay = 0
   2.425000    SV: 1 0 1 ::PowerTrain::PedalPosition = 3
